feature,mi_score,feature_type
AnthroEnergy,0.14630530287813115,acoustic
Low (50-1200 Hz),0.14567512846166197,environmental
BGNf,0.131847927084632,acoustic
Water temp (°C),0.11501546128024698,environmental
LFC,0.11168954292806577,acoustic
rBA,0.10188263468743775,acoustic
NDSI,0.10188263468743775,acoustic
BI,0.10010276412768215,acoustic
Broadband (1-40000 Hz),0.09963835480086636,environmental
ENRf,0.09585311703905597,acoustic
LEQf,0.09516364922560272,acoustic
MED,0.09433036485017232,acoustic
BGNt,0.09138213262555461,acoustic
EPS,0.09114970979332004,acoustic
VARf,0.08819956716731392,acoustic
ROU,0.0839833162007304,acoustic
Ht,0.0826272833398185,acoustic
MEANf,0.08179865931129915,acoustic
High (7000-40000 Hz),0.07330366003938882,environmental
BioEnergy,0.07280293408908878,acoustic
ACTspFract,0.06944596148586957,acoustic
ACTspCount,0.066774016603518,acoustic
HFC,0.06500409153972098,acoustic
EVNspCount,0.061081279030603675,acoustic
EVNspFract,0.05898133495365521,acoustic
EAS,0.05872521905600836,acoustic
MFC,0.05773894874301533,acoustic
H_gamma,0.05202246016627243,acoustic
VARt,0.05156994891660438,acoustic
LEQt,0.05140071877727159,acoustic
SNRf,0.05115788889291517,acoustic
File,0.048961035890247695,acoustic
Hf,0.04880755990605623,acoustic
H_GiniSimpson,0.04793339947549091,acoustic
RAOQ,0.04691316465098483,acoustic
H_pairedShannon,0.0458102246268155,acoustic
EPS_KURT,0.045478719858317085,acoustic
nROI,0.04392794953322676,acoustic
H_Havrda,0.04382724730069598,acoustic
aROI,0.043343415103665794,acoustic
SKEWf,0.04141477812652683,acoustic
KURTt,0.040166457687105916,acoustic
KURTf,0.040090210355826716,acoustic
EPS_SKEW,0.03893851811879001,acoustic
H_Renyi,0.0381247329785912,acoustic
ECU,0.03636639164311162,acoustic
ACTtMean,0.035568956609294045,acoustic
ACTspMean,0.03318691009574315,acoustic
ECV,0.03250187900373147,acoustic
SNRt,0.032258316735856996,acoustic
NBPEAKS,0.02799213772421294,acoustic
TFSD,0.02797640714459626,acoustic
EVNspMean,0.023958975331584087,acoustic
ADI,0.022866851959364665,acoustic
AEI,0.019877124238654398,acoustic
SKEWt,0.018260825995176866,acoustic
ZCR,0.017850291161894738,acoustic
EVNtMean,0.015479886399350162,acoustic
AGI,0.01331595761576887,acoustic
ACI,0.012848915704740449,acoustic
EVNtFraction,0.012629036752699774,acoustic
ACTtCount,0.008390039715840736,acoustic
EVNtCount,0.007587191794754311,acoustic
FrequencyResolution,0.005971028918331234,acoustic
ACTtFraction,0.005467987336196467,acoustic
Water depth (m),0.0023878133486616715,environmental
MEANt,0.0020287044065319115,acoustic
