dataset,model,cv_f1_mean,cv_f1_std,test_f1,test_auc,test_ap
acoustic_raw,LogisticRegression,0.8459869313815641,0.004890423876284384,0.8454875663593182,0.8522731434591149,0.9290267057725072
acoustic_raw,RandomForest,0.8414854889198995,0.005353083966314186,0.8337595907928389,0.852230193023917,0.9268054472545894
environmental_raw,LogisticRegression,0.8393083828359599,0.005806688267194202,0.8339663591969615,0.814719813335411,0.9043693526649903
environmental_raw,RandomForest,0.8295459163634092,0.0038741135160496737,0.8242865137101287,0.8285305424207132,0.9155527882847954
acoustic_with_temporal,LogisticRegression,0.8511182266381636,0.004739805759304705,0.8493771234428086,0.8685397051802219,0.9410091116429415
acoustic_with_temporal,RandomForest,0.859429788486794,0.008529394510506584,0.8558507631430187,0.877404142286468,0.9430430412079378
environmental_with_temporal,LogisticRegression,0.8384198465339529,0.005334877907313025,0.8298109010011123,0.8391442941512162,0.9233862685395933
environmental_with_temporal,RandomForest,0.854028761862104,0.005050559244391416,0.8490460157126823,0.875129433966536,0.9421860832010015
all_raw,LogisticRegression,0.8519514081872813,0.004674024935670179,0.8466462566100752,0.8537867301134492,0.9296698347532834
all_raw,RandomForest,0.8485056777229113,0.004352143287343655,0.8462408140192199,0.8627593756804648,0.934896723261742
all_with_temporal,LogisticRegression,0.8526704199319971,0.007860203259952663,0.8496621621621622,0.8694240180165422,0.9420691094096202
all_with_temporal,RandomForest,0.8577989535931627,0.007622517754937471,0.853355893965031,0.882034132610967,0.9459102809933255
full_temporal,LogisticRegression,0.898812643024345,0.0027177244037317524,0.8901376791233493,0.9366624248950045,0.9712226297966304
full_temporal,RandomForest,0.8822315258026195,0.004098923900111069,0.877123442808607,0.9161124728729714,0.9616671739709872
