species,acoustic_index,circadian_r,circadian_p,station
Spotted seatrout,File,-0.6626311368807173,0.01886463267182289,14M
Spotted seatrout,Black drum,0.4461531145040011,0.14599910609070932,14M
Spotted seatrout,Bottlenose dolphin burst pulses,0.17746495513644592,0.5810968371340344,14M
Spotted seatrout,Bottlenose dolphin whistles,-0.37774959419365334,0.22603689043425756,14M
Spotted seatrout,ZCR,-0.8359052620917987,0.0007064757260428775,14M
Spotted seatrout,MEANt,-0.3080316573078662,0.3300285131074235,14M
Spotted seatrout,VARt,0.8429575437149921,0.0005743061454381065,14M
Spotted seatrout,SKEWt,-0.5653397685825899,0.05541688689703145,14M
Spotted seatrout,KURTt,0.44343781003580596,0.1487657754521224,14M
Spotted seatrout,LEQt,0.5603212330726364,0.05810801285260442,14M
Spotted seatrout,BGNt,0.6607328049678942,0.01933125803488328,14M
Spotted seatrout,SNRt,-0.889857016563538,0.00010582701967428602,14M
Spotted seatrout,MED,0.8958120888990859,8.098262326133773e-05,14M
Spotted seatrout,Ht,0.26894135643322126,0.39796636442718,14M
Spotted seatrout,ACTtFraction,-0.9580205937109394,9.567557538116905e-07,14M
Spotted seatrout,ACTtCount,-0.958339535031856,9.214563615377067e-07,14M
Spotted seatrout,ACTtMean,-0.8507495325012182,0.0004514638104934236,14M
Spotted seatrout,EVNtFraction,-0.9186041892174727,2.4514018111425736e-05,14M
Spotted seatrout,EVNtMean,-0.1811899571358922,0.5730533811962748,14M
Spotted seatrout,EVNtCount,-0.947154968343036,2.9691443787136552e-06,14M
Spotted seatrout,MEANf,0.5464827362225899,0.06599766680891457,14M
Spotted seatrout,VARf,0.8819428434144907,0.00014766815510251958,14M
Spotted seatrout,SKEWf,0.9537095671931748,1.5484677495562697e-06,14M
Spotted seatrout,KURTf,0.9578054799105531,9.811640890925715e-07,14M
Spotted seatrout,NBPEAKS,0.4953530621239331,0.10151795636310751,14M
Spotted seatrout,LEQf,0.5809272231771043,0.04761485468536649,14M
Spotted seatrout,ENRf,0.5809272231861238,0.047614854681090016,14M
Spotted seatrout,BGNf,0.8304866743054211,0.0008231093723401378,14M
Spotted seatrout,SNRf,-0.957306547066355,1.0396824866343228e-06,14M
Spotted seatrout,Hf,-0.9361673791929523,7.493601248655458e-06,14M
Spotted seatrout,EAS,0.4270082211280013,0.16622127105669096,14M
Spotted seatrout,ECU,0.34764107111199966,0.2681832168562769,14M
Spotted seatrout,ECV,0.453872786016444,0.1383148390838631,14M
Spotted seatrout,EPS,-0.0786680834613083,0.8079913704410306,14M
Spotted seatrout,EPS_KURT,-0.04741596289434723,0.8836613663358797,14M
Spotted seatrout,EPS_SKEW,-0.02368841032575932,0.9417478968168826,14M
Spotted seatrout,ACI,0.3493653040219603,0.26565535392794265,14M
Spotted seatrout,NDSI,-0.9500449122328607,2.252384925320969e-06,14M
Spotted seatrout,rBA,-0.9500449122373456,2.2523849243270616e-06,14M
Spotted seatrout,AnthroEnergy,0.8922420390761101,9.52488736844776e-05,14M
Spotted seatrout,BioEnergy,-0.17811220415920226,0.5796960397831799,14M
Spotted seatrout,BI,-0.7910175104481947,0.002183856010165721,14M
Spotted seatrout,ROU,0.8660976083387273,0.00026960233631583816,14M
Spotted seatrout,ADI,-0.93404919915049,8.790339539971987e-06,14M
Spotted seatrout,AEI,0.9222108813615968,1.966483837870012e-05,14M
Spotted seatrout,LFC,-0.789163507995187,0.0022748161301306717,14M
Spotted seatrout,MFC,-0.6188379230780848,0.0319208122934173,14M
Spotted seatrout,HFC,-0.5049271112146799,0.09406833054634428,14M
Spotted seatrout,ACTspFract,-0.5399213438010826,0.06998513964328665,14M
Spotted seatrout,ACTspCount,-0.5417322199294409,0.06886850321259055,14M
Spotted seatrout,ACTspMean,0.04779118851522476,0.8827463012987437,14M
Spotted seatrout,EVNspFract,-0.564528638848264,0.05584582562239385,14M
Spotted seatrout,EVNspMean,-0.44050958797694306,0.15178679355336183,14M
Spotted seatrout,EVNspCount,-0.6363400728367239,0.026104161701376607,14M
Spotted seatrout,TFSD,-0.06670318956105553,0.8368175491158298,14M
Spotted seatrout,H_Havrda,-0.9394861650333242,5.770465980898868e-06,14M
Spotted seatrout,H_Renyi,-0.9508881546560897,2.071559023188897e-06,14M
Spotted seatrout,H_pairedShannon,-0.9365300395896734,7.287647219510304e-06,14M
Spotted seatrout,H_gamma,-0.9200044697969831,2.253089294310248e-05,14M
Spotted seatrout,H_GiniSimpson,-0.9444336685388957,3.7989009836755816e-06,14M
Spotted seatrout,RAOQ,-0.9047496368558599,5.2524468214390274e-05,14M
Spotted seatrout,AGI,-0.7207490957952685,0.008178010839274955,14M
Spotted seatrout,nROI,-0.654685886487449,0.02087395899322362,14M
Spotted seatrout,aROI,-0.7741880921246296,0.003119908622932531,14M
Atlantic croaker,File,0.25640824935142414,0.4211375432771983,14M
Atlantic croaker,Black drum,-2.7755575615628914e-17,1.0,14M
Atlantic croaker,Bottlenose dolphin burst pulses,-0.5676723267069523,0.05419622422668384,14M
Atlantic croaker,Bottlenose dolphin whistles,0.2890833810334634,0.36212516684520757,14M
Atlantic croaker,ZCR,0.21699622578143246,0.498123675687427,14M
Atlantic croaker,MEANt,0.593581999264194,0.041877037210520295,14M
Atlantic croaker,VARt,-0.44019952806688817,0.15210895661040835,14M
Atlantic croaker,SKEWt,-0.0036737134940056787,0.9909593833842386,14M
Atlantic croaker,KURTt,-0.8530942511750268,0.00041882843610235,14M
Atlantic croaker,LEQt,0.22871858495656172,0.47459446474316125,14M
Atlantic croaker,BGNt,0.13341209043315275,0.6793489939009998,14M
Atlantic croaker,SNRt,0.24059272054361386,0.4512974941346538,14M
Atlantic croaker,MED,-0.2708779454418072,0.3944448014243894,14M
Atlantic croaker,Ht,0.5333017889668643,0.07417287495684688,14M
Atlantic croaker,ACTtFraction,0.6461421818213706,0.02320417753628739,14M
Atlantic croaker,ACTtCount,0.6456077193355281,0.023355963628430135,14M
Atlantic croaker,ACTtMean,0.16934748381298892,0.5987765585728748,14M
Atlantic croaker,EVNtFraction,0.6184972408995724,0.032042513717123314,14M
Atlantic croaker,EVNtMean,0.7123156532383506,0.009341708386127513,14M
Atlantic croaker,EVNtCount,0.3857523473819302,0.21554839607675602,14M
Atlantic croaker,MEANf,0.2835053915941496,0.3718753762215269,14M
Atlantic croaker,VARf,-0.307754756644198,0.33048602897421825,14M
Atlantic croaker,SKEWf,-0.38485051601842407,0.2167153450443083,14M
Atlantic croaker,KURTf,-0.3996211785349087,0.19808179846195015,14M
Atlantic croaker,NBPEAKS,-0.8809501489081535,0.00015371535041757705,14M
Atlantic croaker,LEQf,0.24685808081355048,0.43922883688446407,14M
Atlantic croaker,ENRf,0.24685808080120047,0.43922883690809866,14M
Atlantic croaker,BGNf,-0.08160256762794005,0.8009535271586751,14M
Atlantic croaker,SNRf,0.37236503083674166,0.23326284041805637,14M
Atlantic croaker,Hf,0.34451117732517256,0.27280720966931415,14M
Atlantic croaker,EAS,-0.9178680004681017,2.5610395658613407e-05,14M
Atlantic croaker,ECU,-0.9108810485782949,3.8060771233801646e-05,14M
Atlantic croaker,ECV,-0.9307869448148549,1.1128122828245966e-05,14M
Atlantic croaker,EPS,0.7640162116198133,0.003817297222616635,14M
Atlantic croaker,EPS_KURT,0.6857601817471409,0.013819437265898807,14M
Atlantic croaker,EPS_SKEW,0.6574337607344812,0.020162188560075074,14M
Atlantic croaker,ACI,-0.7905868630076198,0.002204731762080021,14M
Atlantic croaker,NDSI,0.3644149288778027,0.24417996474702794,14M
Atlantic croaker,rBA,0.3644149288907739,0.2441799647289745,14M
Atlantic croaker,AnthroEnergy,-0.3392612835229426,0.28066529731540035,14M
Atlantic croaker,BioEnergy,0.795131460125615,0.0019919583785744975,14M
Atlantic croaker,BI,0.09865315755552494,0.7603437251428304,14M
Atlantic croaker,ROU,-0.2742087144495065,0.3884252651442003,14M
Atlantic croaker,ADI,0.3681259737927162,0.23904710774487503,14M
Atlantic croaker,AEI,-0.3105644277263809,0.3258596958706447,14M
Atlantic croaker,LFC,0.7601315279733926,0.00411266243704614,14M
Atlantic croaker,MFC,0.8888691213724135,0.0001104688396560783,14M
Atlantic croaker,HFC,0.9023809806762821,5.914542179091118e-05,14M
Atlantic croaker,ACTspFract,0.9004012068052282,6.516744207269859e-05,14M
Atlantic croaker,ACTspCount,0.9002436131013759,6.566671635024849e-05,14M
Atlantic croaker,ACTspMean,-0.7423805060728426,0.005688246143631687,14M
Atlantic croaker,EVNspFract,0.89553737838639,8.20167897204215e-05,14M
Atlantic croaker,EVNspMean,0.8537289191949158,0.000410318299639208,14M
Atlantic croaker,EVNspCount,0.8968055199261902,7.732786074023346e-05,14M
Atlantic croaker,TFSD,-0.11660533282086297,0.7181806038061658,14M
Atlantic croaker,H_Havrda,0.395187860886544,0.20356737035770583,14M
Atlantic croaker,H_Renyi,0.3623305503351496,0.2470911943840486,14M
Atlantic croaker,H_pairedShannon,0.34590834596855996,0.27073745829423024,14M
Atlantic croaker,H_gamma,0.28462413513429025,0.36990896792971817,14M
Atlantic croaker,H_GiniSimpson,0.3781777300446899,0.22546817336389444,14M
Atlantic croaker,RAOQ,0.2579031948082481,0.4183393792577905,14M
