species,acoustic_index,best_lag,best_lag_r,best_lag_p,station
Spotted seatrout,File,2,-0.08354875171814766,3.227401461274559e-08,14M
Spotted seatrout,Black drum,5,0.010209379863018182,0.5001939597265735,14M
Spotted seatrout,Bottlenose dolphin burst pulses,4,-0.03834528752490433,0.011298844904008383,14M
Spotted seatrout,Bottlenose dolphin whistles,0,-0.018396065426429707,0.22415013483093535,14M
Spotted seatrout,ZCR,0,-0.29894001299982603,7.142259894389289e-91,14M
Spotted seatrout,MEANt,5,0.01832946058757731,0.22609829206199292,14M
Spotted seatrout,VARt,0,0.1874389056498118,7.914753322740232e-36,14M
Spotted seatrout,SKEWt,1,-0.21533604197434902,5.543880624145622e-47,14M
Spotted seatrout,KURTt,1,-0.21390706299076337,2.2706036094851914e-46,14M
Spotted seatrout,LEQt,0,0.46935081060079487,3.1605889326323445e-238,14M
Atlantic croaker,File,4,0.01337746464061008,0.3769610962909884,14M
Atlantic croaker,Black drum,1,0.09909156233326992,5.2885600030792836e-11,14M
Atlantic croaker,Bottlenose dolphin burst pulses,6,-0.01638330954203092,0.27933902809853,14M
Atlantic croaker,Bottlenose dolphin whistles,0,0.029696627486438174,0.04969891328051068,14M
Atlantic croaker,ZCR,0,0.12016352652723687,1.6084198039688774e-15,14M
Atlantic croaker,MEANt,5,-0.033508720449187214,0.026874274239961877,14M
Atlantic croaker,VARt,5,0.09808130185242003,8.449802476122256e-11,14M
Atlantic croaker,SKEWt,5,-0.04518499703534359,0.0028332395070420537,14M
Atlantic croaker,KURTt,5,-0.09108770887650625,1.6659123580891289e-09,14M
Atlantic croaker,LEQt,5,0.12861012309304345,1.487855270028535e-17,14M
Oyster toadfish boat whistle,File,6,0.051982632252662586,0.0005935300790742367,14M
Oyster toadfish boat whistle,Black drum,6,-0.012597800045033592,0.40550955003434885,14M
Oyster toadfish boat whistle,Bottlenose dolphin burst pulses,3,-0.04296319993019438,0.004525560504344049,14M
Oyster toadfish boat whistle,Bottlenose dolphin whistles,6,-0.006597500777123575,0.6631163095291478,14M
Oyster toadfish boat whistle,ZCR,4,-0.25796899871331935,2.7526246172974468e-67,14M
Oyster toadfish boat whistle,MEANt,0,0.03531714202709032,0.019585257033367616,14M
Oyster toadfish boat whistle,VARt,4,0.0850288963833308,1.8482264416394307e-08,14M
Oyster toadfish boat whistle,SKEWt,3,-0.13103407665801556,3.5548902283585255e-18,14M
Oyster toadfish boat whistle,KURTt,5,-0.23860172174048916,1.5669997352960576e-57,14M
Oyster toadfish boat whistle,LEQt,4,0.3732895055907295,2.352947456804126e-144,14M
Bottlenose dolphin echolocation,File,6,-0.018869844729879924,0.21275671344779834,14M
Bottlenose dolphin echolocation,Black drum,6,-0.0050385601665842335,0.7393753536665479,14M
Bottlenose dolphin echolocation,Bottlenose dolphin burst pulses,0,0.4497019986811298,1.6800979195801076e-216,14M
Bottlenose dolphin echolocation,Bottlenose dolphin whistles,0,0.09602904014470692,2.0237831672055852e-10,14M
Bottlenose dolphin echolocation,ZCR,6,-0.060456290658762346,6.459258861307441e-05,14M
Bottlenose dolphin echolocation,MEANt,5,-0.01983505247528064,0.1902234602852605,14M
Bottlenose dolphin echolocation,VARt,2,-0.014972217728518334,0.32262784945866274,14M
Bottlenose dolphin echolocation,SKEWt,2,0.05219794853127024,0.0005597952886549419,14M
Bottlenose dolphin echolocation,KURTt,2,0.08245734828128568,4.86538526152015e-08,14M
Bottlenose dolphin echolocation,LEQt,2,-0.061609809206613825,4.628868783550523e-05,14M
Red drum,File,5,-0.040973932425302624,0.0067932572611800945,14M
